 ,Area,Mean,StdDev,Min,Max,Median
1,8.703,103.890,3.312,94,113,103
2,8.703,102.540,2.750,95,110,102
3,8.703,103.640,3.483,97,124,103
4,8.703,103.470,3.211,97,114,103
5,8.703,103.460,3.494,96,116,103
6,8.703,103.400,3.903,87,118,103
7,8.703,102.930,3.531,96,117,102
8,8.703,103.860,3.696,90,116,104
9,8.703,102.380,3.197,95,116,102
10,8.703,102.930,2.764,97,113,103
11,8.703,122.980,8.950,88,147,122
12,8.703,125.590,9.300,104,163,125
13,8.703,117.650,7.855,101,135,118
14,8.703,108.740,5.140,96,128,108
15,8.703,130.950,9.704,103,151,131
16,8.703,119.340,7.955,101,147,120
17,8.703,117.990,7.255,103,143,117
18,8.703,117.790,7.185,99,137,118
19,8.703,121.840,7.340,108,143,121
20,8.703,122.520,8.325,98,144,123
